frame_number,person_count
9,3
10,3
11,4
12,3
13,3
14,3
15,3
15,5
16,3
16,4
17,4
18,3
19,3
19,3
20,4
21,3
21,4
22,3
23,3
23,4
24,3
24,3
25,4
25,3
26,4
26,3
27,3
27,3
28,3
28,3
29,3
29,3
30,4
30,3
31,3
32,3
32,3
33,3
33,4
33,3
34,3
34,3
35,4
36,3
36,3
37,3
37,3
37,4
38,3
38,4
39,4
39,4
39,3
40,3
40,4
41,4
42,3
42,3
43,3
43,3
44,3
44,3
45,3
45,3
46,3
46,3
47,4
48,4
48,3
49,3
50,3
50,3
50,3
51,3
51,3
51,3
52,3
52,4
52,3
53,3
53,3
53,4
54,3
54,3
54,4
55,3
55,3
56,3
56,3
56,3
57,4
57,3
58,4
59,4
60,3
61,4
61,3
62,3
62,3
63,3
64,3
64,3
65,3
65,3
66,3
66,3
66,3
67,3
67,3
68,3
68,3
69,3
69,3
70,3
70,3
71,3
71,3
72,3
72,3
73,3
73,3
73,3
74,3
74,3
74,3
75,3
75,3
75,3
76,3
76,3
77,3
77,3
77,4
78,3
78,3
79,3
79,3
80,3
80,3
80,3
81,3
81,3
82,3
82,4
83,3
83,3
84,3
84,3
84,3
85,3
85,3
87,3
88,3
89,3
90,3
90,3
90,3
91,3
91,3
92,3
93,3
94,3
95,3
96,3
96,3
98,3
99,3
100,3
101,3
101,3
102,3
102,3
103,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
123,3
124,3
124,4
125,3
125,4
126,3
126,4
127,3
128,4
128,3
129,3
129,3
130,3
131,3
134,3
135,3
136,3
138,3
139,3
140,3
140,3
145,3
157,3
162,3
165,3
189,3
196,3
200,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
214,3
215,3
218,3
220,3
221,3
222,3
222,3
223,3
223,3
225,3
226,3
229,3
230,3
230,4
231,3
232,3
233,3
233,4
234,3
234,4
235,3
235,3
237,3
238,3
239,3
240,3
242,4
245,3
246,3
247,3
248,3
249,3
250,3
252,3
254,3
255,3
255,3
256,3
256,3
257,3
257,3
258,3
259,3
259,3
260,3
261,3
262,3
263,3
263,3
264,3
265,3
266,3
266,4
267,3
268,4
268,3
269,3
270,3
271,4
272,4
273,4
274,3
275,4
276,3
277,3
277,4
278,3
278,4
279,3
279,4
279,3
280,3
280,3
281,3
281,3
281,3
282,3
282,4
282,3
284,3
285,3
285,3
286,3
286,3
287,3
287,3
289,3
293,3
293,3
294,3
296,3
296,3
298,3
299,3
299,3
302,4
304,3
305,3
306,4
307,3
307,4
308,3
309,3
309,3
309,3
311,3
311,3
312,3
312,3
312,3
313,3
313,3
313,4
314,3
315,3
315,3
316,3
316,3
317,3
317,3
318,3
319,3
319,3
319,3
320,4
320,3
321,3
321,3
322,3
322,3
323,3
323,3
325,3
327,3
328,3
329,3
329,3
330,3
333,4
333,3
333,3
334,4
334,3
335,3
335,4
336,3
336,3
338,3
338,3
338,5
339,3
339,3
339,3
340,3
340,4
